# Session	animalID	occasion	TrapID	sex
1	OM22	1	TR11	m
1	OM22	1	TR11	m
1	OM36	1	TR17	m
1	OH37	1	TR21	f
1	OM57	1	TR37	m
1	OM57	1	TR37	m
1	OM57	1	TR37	m
1	OM57	1	TR37	m
1	OM29	2	TR14	m
1	OH37	2	TR21	f
1	OM17	3	TR04	m
1	OM09	3	TR33	m
1	OM51	3	TR34	m
1	OM29	5	TR13	m
1	OM02	5	TR51	m
1	OM02	5	TR57	m
1	ON23	6	TR09	NA
1	OM17	11	TR05	m
1	OM41	11	TR29	m
1	OM41	11	TR29	m
1	ON14	12	TR01	NA
1	OH20	12	TR07	f
1	OH20	12	TR07	f
1	OH37	12	TR21	f
1	OM57	13	TR37	m
1	OM57	13	TR37	m
1	OM57	13	TR37	m
1	ON50	14	TR33	NA
1	OM58	15	TR37	m
1	OM58	15	TR37	m
1	OM58	15	TR37	m
1	OM58	15	TR37	m
1	OM36	16	TR22	m
1	OM36	16	TR22	m
1	OM29	17	TR14	m
1	OM22	18	TR10	m
1	OM22	18	TR10	m
1	OH37	18	TR22	f
1	OH37	18	TR22	f
1	OM57	18	TR37	m
1	OM57	18	TR37	m
1	OM57	18	TR37	m
1	OM36	20	TR26	m
1	ON24	24	TR09	NA
1	OM22	24	TR13	m
1	OM22	25	TR12	m
1	OM22	25	TR12	m
1	OH37	26	TR22	f
1	OH37	26	TR22	f
1	OM47	27	TR32	m
1	OM47	27	TR32	m
1	OM18	28	TR04	m
1	OM36	28	TR20	m
1	OM18	29	TR04	m
1	OM18	29	TR04	m
1	ON40	29	TR28	NA
1	OM59	30	TR37	m
1	OM59	30	TR37	m
1	OM36	31	TR18	m
1	OM36	31	TR18	m
1	ON53	31	TR35	NA
1	ON14	33	TR01	NA
1	OH25	33	TR10	f
1	OH25	33	TR10	f
1	OM13	34	TR01	m
1	OH21	34	TR08	NA
1	OH21	34	TR08	NA
1	OM57	35	TR37	m
1	OM57	35	TR37	m
1	OM57	35	TR37	m
1	OM42	36	TR30	m
1	OM42	36	TR30	m
1	OM42	36	TR30	m
1	OM13	37	TR01	m
1	OM13	37	TR01	m
1	OM43	38	TR30	m
1	OM43	38	TR30	m
1	OM43	38	TR30	m
1	OM43	38	TR30	m
1	OM29	39	TR14	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM43	39	TR30	m
1	OM36	43	TR22	m
1	ON53	43	TR35	NA
1	ON14	44	TR01	NA
1	OM41	47	TR29	m
1	OM41	47	TR29	m
1	OM41	47	TR29	m
1	OM41	47	TR29	m
1	OM36	48	TR21	m
1	OM36	49	TR23	m
1	OM13	51	TR01	m
1	OH37	51	TR22	f
1	OM43	54	TR30	m
1	OM43	54	TR30	m
1	OM09	54	TR33	m
1	OM36	56	TR18	m
1	OM43	57	TR30	m
1	OM43	57	TR30	m
1	OM13	59	TR01	m
1	OM48	61	TR32	m
1	OM48	61	TR32	m
1	OM48	61	TR32	m
1	ON54	64	TR35	NA
1	OM22	69	TR09	m
1	OM36	69	TR24	m
1	OM48	70	TR32	m
1	OM30	77	TR14	m
1	OM36	77	TR22	m
1	OM30	78	TR13	m
1	OH33	81	TR14	f
1	OH37	81	TR22	f
1	OM36	82	TR23	m
1	OM22	83	TR12	m
1	OH26	86	TR12	f
1	OM09	87	TR33	m
1	OH26	93	TR12	f
1	OH26	93	TR12	f
1	OM13	97	TR01	m
1	OH26	97	TR13	f
1	ON87	98	TR36	NA
1	OM22	100	TR09	m
1	OM30	100	TR13	m
1	OM36	102	TR26	m
1	OM36	102	TR26	m
1	OM36	106	TR18	m
1	OH39	108	TR26	f
1	OH39	108	TR26	f
1	OH26	109	TR12	f
1	OM30	117	TR13	m
1	OM36	123	TR20	m
1	OM36	123	TR20	m
1	OM17	124	TR03	m
1	OM36	124	TR22	m
1	OH37	126	TR19	f
1	OH39	129	TR17	f
1	OM36	129	TR19	m
1	OM17	130	TR03	m
